mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,molecules
4.2947,85.73,-0.1676,0.0039,0.1716,1303.683,0.136762,-418.010155,-418.001557,-418.000613,-418.043077,32.592,Cc1cc(=NO)cc[nH]1
2.1822,61.49,-0.2514,-0.0312,0.2202,940.9264,0.129149,-420.885377,-420.877423,-420.876479,-420.918612,27.715,CC1OCC(C=O)O1
0.703,88.14,-0.2218,0.0319,0.2537,1521.6557,0.191814,-404.347029,-404.336395,-404.33545,-404.383451,38.01,COC(C)=NC1CC1C
1.7377,73.41,-0.2425,-0.0016,0.2409,1093.3515,0.145905,-439.009618,-439.000947,-439.000003,-439.043129,32.621,COC1(C)C2NC1C2=O
3.4064,73.24,-0.2764,-0.0401,0.2363,1212.9387,0.123484,-434.104233,-434.094898,-434.093954,-434.139114,32.454,CC(C#N)N(C=N)C=O
3.1697,71.16,-0.2328,-0.0225,0.2103,1095.4004,0.114312,-453.999789,-453.992007,-453.991063,-454.032246,28.609,COc1ncncc1O
1.7075,81.99,-0.2459,0.0079,0.2538,1515.9575,0.191077,-441.449855,-441.438652,-441.437708,-441.486271,40.406,CCC(=NO)C(O)CC
2.064,74.6,-0.2417,0.0493,0.291,1196.3719,0.169994,-440.235483,-440.226179,-440.225234,-440.269945,34.532,CC1OCC1(O)C1CN1
3.7643,79.29,-0.2404,0.0223,0.2627,1134.642,0.145055,-401.944121,-401.934447,-401.933503,-401.978344,35.705,C#CC1(C)C(=O)NC1C
2.2983,78.81,-0.2551,0.065,0.3201,1302.0738,0.181316,-424.197387,-424.188159,-424.187214,-424.23111,36.069,OCC1(O)CC2(CC2)C1
4.8778,77.62,-0.2223,-0.0567,0.1656,1135.5031,0.124976,-434.088544,-434.080092,-434.079148,-434.122013,30.554,CC1CNc2onnc21
4.6728,79.04,-0.2418,0.0275,0.2692,1212.8969,0.162594,-382.071977,-382.064131,-382.063187,-382.10443,30.744,N#CC1CC2CC2CN1
0.7181,87.2,-0.2417,0.0855,0.3272,1425.5515,0.204967,-388.253607,-388.243827,-388.242883,-388.28864,36.34,COCC1C2CCC21C
2.9722,77.54,-0.2361,-0.0255,0.2106,1271.2394,0.147495,-401.936754,-401.92857,-401.927626,-401.970552,30.625,O=CCC12C=CCC1N2
2.3373,71.68,-0.2522,-0.0392,0.213,1055.9552,0.145927,-439.114431,-439.105435,-439.104491,-439.148614,32.759,CC1N=COC1(C)C=O
5.3742,65.69,-0.2601,-0.0462,0.2138,1165.6837,0.104746,-415.8913,-415.882717,-415.881773,-415.924971,28.46,CN=CN(C=O)C=O
4.3468,76.46,-0.2666,0.0366,0.3031,2040.7423,0.169086,-440.295608,-440.284911,-440.283967,-440.332535,37.395,N#CCCCC(O)CO
3.7646,73.65,-0.253,0.0218,0.2748,1268.8684,0.169054,-477.397044,-477.386769,-477.385825,-477.433159,36.079,COC(CO)COC=N
4.3162,59.19,-0.2403,-0.0161,0.2243,646.4866,0.097346,-361.416811,-361.41167,-361.410726,-361.445884,21.182,O=C1C2C3C2C2C3N12
0.183,94.05,-0.2248,0.0245,0.2493,1384.4027,0.206261,-351.175395,-351.166024,-351.165079,-351.209366,36.306,CC1=CCC(C)C=CC1
3.2754,64.36,-0.2367,0.0384,0.275,1030.9618,0.143682,-401.042641,-401.034738,-401.033794,-401.075228,28.969,O=C1CC(CO)CN1
1.3235,85.08,-0.2212,0.0252,0.2465,1251.4896,0.183863,-387.068288,-387.059824,-387.05888,-387.101416,32.892,OCC1CC2=CCCC21
1.3678,74.37,-0.2281,0.0512,0.2793,1097.8986,0.156996,-422.933283,-422.924738,-422.923794,-422.966291,33.485,CCC1(O)C2C3OC3C21
2.5997,60.85,-0.2571,0.0077,0.2648,771.5351,0.120459,-399.765417,-399.758933,-399.757989,-399.795896,25.197,OC1CN=C2OCC21
1.7975,74.33,-0.221,0.0583,0.2792,1145.3007,0.172735,-440.23977,-440.231369,-440.230425,-440.272919,32.077,OCC1C2COCCN12
2.0921,79.2,-0.2388,-0.0266,0.2122,1221.6695,0.178271,-424.239789,-424.229595,-424.228651,-424.274838,37.629,CC1(C)CC(C)(C=O)O1
1.323,91.23,-0.257,0.0648,0.3217,1362.325,0.248389,-390.70484,-390.692907,-390.691963,-390.740806,46.051,CCC(C)(O)C(C)(C)C
0.3273,85.91,-0.2139,0.0176,0.2315,1058.1005,0.185448,-349.940335,-349.933218,-349.932274,-349.971381,30.263,CC1CC2C3C=CC2C13
4.967,72.42,-0.2669,0.0294,0.2963,1131.887,0.146789,-439.074855,-439.065688,-439.064744,-439.10908,33.18,COC1CC(C#N)C1O
2.0518,84.78,-0.2528,0.0558,0.3086,1335.4392,0.181263,-387.078006,-387.068544,-387.0676,-387.112182,36.933,C#CC1CCC(C)(O)C1
3.2917,75.98,-0.2506,0.0028,0.2533,1164.9267,0.148276,-439.074569,-439.066356,-439.065412,-439.10777,30.434,CN=C1OCCC2OC12
1.3814,79.17,-0.2582,0.0178,0.276,1125.5497,0.13258,-384.601428,-384.592117,-384.591173,-384.636097,34.318,C#CC1OC(C)C1C#C
4.6057,63.38,-0.2536,0.003,0.2566,1038.9481,0.120426,-396.002115,-395.994361,-395.993417,-396.035032,26.837,Cn1cnc(CO)n1
1.1274,77.79,-0.2004,-0.0419,0.1585,834.0479,0.136089,-384.562515,-384.55584,-384.554896,-384.592918,28.426,OC12C3=CCC1C1C3C12
1.6822,70.44,-0.2413,0.076,0.3173,916.4801,0.155272,-347.741298,-347.734347,-347.733403,-347.772519,27.431,OCC1C2CC3C1C23
1.0236,80.22,-0.2445,0.0923,0.3369,1577.2334,0.180378,-424.183211,-424.173585,-424.172641,-424.218085,35.096,COCC1CC2(C)OC12
2.7399,79.64,-0.2253,0.069,0.2943,1134.8335,0.170496,-403.047112,-403.038645,-403.0377,-403.080007,32.716,CC12C(CO)C3C1CN32
2.717,69.85,-0.2352,-0.0222,0.213,1224.4119,0.114668,-450.149926,-450.141857,-450.140912,-450.183666,28.415,CN(C=O)c1cn[nH]n1
1.5205,79.81,-0.2215,0.0658,0.2873,1364.7202,0.170167,-403.041838,-403.033226,-403.032282,-403.075606,32.531,COCC12CC1N1CC12
2.0101,82.3,-0.2273,0.0796,0.307,1240.0614,0.181165,-387.00661,-386.997931,-386.996987,-387.039842,33.599,CCC1C2C3OC2C13C
5.0661,73.15,-0.2668,-0.0372,0.2296,1431.9939,0.144661,-439.105994,-439.09581,-439.094866,-439.141893,35.488,CC(C=O)CC(O)C#N
4.2625,75.48,-0.2533,-0.031,0.2224,1145.6093,0.147086,-402.004943,-401.996246,-401.995302,-402.038421,32.642,CC1(C#N)CCC(=O)C1
3.0578,76.51,-0.2601,0.0151,0.2752,1094.024,0.124667,-400.717002,-400.70933,-400.708386,-400.749302,29.708,C#CC1OC(=N)C2CC12
4.1446,86.66,-0.2034,0.0038,0.2072,1317.8866,0.170667,-403.201032,-403.191758,-403.190814,-403.235263,34.126,CC1=CN(C=O)C(C)C1
0.7722,75.5,-0.2405,0.0511,0.2916,1166.549,0.160186,-419.121829,-419.113475,-419.112531,-419.15534,31.841,OC1CN2CC12C1CN1
3.4743,71.3,-0.2436,0.0666,0.3102,1041.3298,0.1492,-439.03354,-439.026163,-439.025219,-439.065699,28.527,C1OC2(COC2)C2NC12
1.1462,78.93,-0.1716,0.0053,0.1769,1008.735,0.127634,-400.787483,-400.780637,-400.779693,-400.818508,27.576,C1=Cc2cc[nH]c2OC1
0.5517,54.49,-0.2764,-0.1067,0.1697,1005.1538,0.052432,-553.959825,-553.953099,-553.952155,-553.991609,24.397,N=c1onc(F)nc1F
3.4524,82.95,-0.2132,-0.0323,0.1809,1220.9586,0.124181,-400.751259,-400.742835,-400.74189,-400.784935,30.578,C#CC(=O)N1C=CCC1
1.194,77.09,-0.2335,0.0973,0.3308,924.0169,0.162191,-385.878539,-385.87209,-385.871146,-385.908911,27.777,CC12OC3C4CC3C1C42
1.2901,84.29,-0.2515,0.0724,0.3239,1074.425,0.206397,-388.287053,-388.27832,-388.277376,-388.319356,35.991,CC1C2CC(C2)C1(C)O
2.7988,77.86,-0.2445,0.0723,0.3168,1199.0439,0.171674,-403.07422,-403.066017,-403.065073,-403.106917,32.087,CC1C2C(CO)N3C1C23
1.4468,64.24,-0.2519,0.0811,0.3331,726.0814,0.148659,-309.691414,-309.684511,-309.683567,-309.721991,26.723,OC1CCC12CC2
1.9645,80.7,-0.2256,0.0151,0.2407,935.6663,0.16132,-385.7798,-385.773111,-385.772166,-385.810346,28.685,C1=CC23COC2C(C1)C3
1.613,76.79,-0.2423,0.0259,0.2682,1103.5265,0.159746,-419.1919,-419.183193,-419.182248,-419.225069,33.205,CC1CC2(N)C(=N)OC12
2.3559,54.31,-0.265,0.0562,0.3212,828.8,0.113187,-361.740252,-361.733043,-361.732099,-361.772159,25.817,NC(=O)OC1CC1
2.6404,83.42,-0.2415,-0.0297,0.2118,1333.9023,0.137151,-384.769254,-384.761309,-384.760365,-384.803747,29.123,O=CCc1ccccc1
1.8273,78.18,-0.2398,-0.0118,0.228,1151.3346,0.135096,-417.83197,-417.824226,-417.823282,-417.864417,29.588,CN=C1OC23CN(C2)C13
2.6122,82.48,-0.2414,0.0814,0.3228,1703.026,0.204478,-425.405122,-425.394595,-425.393651,-425.441622,37.501,CC(CCO)C1CCO1
4.0643,71.67,-0.2456,0.0279,0.2734,1299.5062,0.117669,-362.661046,-362.652522,-362.651578,-362.696458,29.092,CC#CC1CC(=O)N1
1.622,77.71,-0.2289,0.0774,0.3063,1072.0551,0.172701,-403.101608,-403.09409,-403.093146,-403.133608,30.424,CCC12CC3NC1C3O2
2.9553,81.61,-0.2312,-0.0148,0.2164,1151.6082,0.183578,-387.119237,-387.110899,-387.109954,-387.152265,32.58,CC1CC(=O)C2CCC12
2.4441,70.16,-0.1812,0.0367,0.2179,1222.9329,0.124591,-471.223152,-471.214071,-471.213127,-471.257127,32.929,COc1nc(N)oc1N
3.2035,52.83,-0.2438,0.0095,0.2533,681.764,0.115622,-361.752301,-361.745829,-361.744885,-361.78268,23.572,NC1CCOC1=O
7.4364,78.11,-0.2414,-0.0135,0.2279,1197.7993,0.126316,-396.995854,-396.987545,-396.9866,-397.02954,29.977,CCc1[nH]cnc1C#N
4.31,73.63,-0.2897,-0.0048,0.2849,1370.2338,0.1446,-439.14131,-439.130917,-439.129973,-439.178789,35.146,CCC(C#N)OC(C)=O
2.8304,76.52,-0.246,-0.0187,0.2273,1353.7639,0.175676,-349.011502,-349.002658,-349.001714,-349.045885,31.875,CC1CC(CC=O)C1
3.2929,62.56,-0.2363,0.0564,0.2927,850.8027,0.112226,-457.653164,-457.646643,-457.645699,-457.683748,26.709,OC12C3OC3C3C1OC32
6.4123,77.59,-0.2159,-0.0133,0.2026,1142.4866,0.148442,-439.147614,-439.138841,-439.137896,-439.180878,33.003,CC1=C(N)CCOC1=O
3.6124,75.86,-0.2378,-0.0262,0.2117,1148.4639,0.135244,-421.807485,-421.799575,-421.798631,-421.840056,29.97,CC1OC2C(=O)CC=C12
2.4152,63.82,-0.2152,0.0143,0.2295,879.7867,0.120015,-396.026159,-396.018278,-396.017334,-396.058669,27.193,Cn1cnn(C)c1=O
6.129,80.2,-0.2025,-0.0512,0.1513,1226.6097,0.124801,-434.11036,-434.101506,-434.100562,-434.14516,31.378,Cn1cc(N)nc1C=O
3.8849,71.82,-0.2333,-0.0005,0.2328,992.7383,0.13791,-421.807474,-421.800587,-421.799643,-421.838577,27.957,O=C1C2CC3C(O)C2C13
2.9716,82.75,-0.2484,-0.0233,0.2251,1538.8357,0.201431,-425.445215,-425.433612,-425.432667,-425.482508,41.065,CCCC(O)(C=O)CC
6.5322,68.37,-0.2451,0.032,0.2771,1304.6632,0.165579,-402.245231,-402.236307,-402.235363,-402.278977,32.601,CCC([NH3+])CC(=O)[O-]
2.5025,68.6,-0.2483,-0.0054,0.2429,1212.7345,0.137015,-455.129049,-455.120568,-455.119624,-455.162736,30.873,NC1C(=O)OC1C1CN1
3.9173,71.59,-0.2505,-0.0209,0.2296,1167.1524,0.123412,-437.863462,-437.855355,-437.85441,-437.897258,29.499,N=COC1C2CC(=O)C21
0.7027,87.72,-0.2133,0.0057,0.219,1007.7625,0.184665,-349.91208,-349.904791,-349.903846,-349.94324,30.687,CC1C2=CCC3CC1C23
1.5844,77.45,-0.2486,-0.0361,0.2125,1404.25,0.167908,-440.339229,-440.328482,-440.327538,-440.376377,36.934,CCC(C=O)NC(C)=O
5.1331,67.81,-0.249,0.0192,0.2682,1335.3459,0.16516,-402.242373,-402.233101,-402.232157,-402.27697,33.101,CCCC([NH3+])C(=O)[O-]
1.9157,71.5,-0.2407,0.071,0.3117,1057.6774,0.174459,-386.120945,-386.111046,-386.110102,-386.155109,35.781,CC1C(O)C1(C)CO
2.5432,79.66,-0.2452,0.0716,0.3167,1389.6292,0.171265,-403.078879,-403.07025,-403.069306,-403.113068,32.369,C1CC1C1NC1C1CO1
1.954,84.52,-0.2422,0.0773,0.3195,1275.217,0.205435,-388.254744,-388.245165,-388.244221,-388.289912,35.842,CCC1(C2CC2)COC1
2.4893,71.92,-0.2679,0.021,0.2889,1240.2368,0.145974,-439.076185,-439.066604,-439.06566,-439.110752,35.099,N#CC(CO)C1(O)CC1
4.3985,71.12,-0.2307,0.0177,0.2484,1102.7385,0.160744,-456.342332,-456.333626,-456.332682,-456.37556,32.817,CNC1(C(=O)[O-])C[NH2+]C1
1.8298,63.68,-0.3073,-0.1466,0.1607,1115.7273,0.053769,-467.594397,-467.587453,-467.586508,-467.626785,24.384,N#Cc1cnc(=O)on1
0.7661,76.67,-0.2056,0.0875,0.2931,900.1063,0.163123,-382.018595,-382.012283,-382.011339,-382.048848,27.09,CN1C2C3CN4C2C4C31
1.1276,67.37,-0.2483,0.0035,0.2518,991.4155,0.141808,-400.964629,-400.956594,-400.95565,-400.997039,29.593,CC1COCC1=NO
2.8823,72.48,-0.2507,0.0772,0.3279,926.384,0.162966,-423.027718,-423.021024,-423.02008,-423.058663,27.676,C1CC2OC1CC1OC21
1.4796,80.41,-0.2047,0.0238,0.2286,1576.1025,0.158514,-423.062992,-423.053537,-423.052593,-423.09815,33.799,Cc1ccc(CCO)o1
0.6853,64.09,-0.2286,-0.0551,0.1734,795.159,0.108919,-378.744876,-378.73824,-378.737296,-378.775344,25.936,NC1=NC2CC2C1=O
2.068,77.8,-0.2572,-0.0398,0.2175,1514.1251,0.168774,-440.328607,-440.318251,-440.317306,-440.365086,35.908,CCCC(C=O)NC=O
2.3212,72.82,-0.2207,0.0725,0.2931,844.4004,0.15098,-401.90096,-401.89482,-401.893876,-401.930943,27.056,OC12C3CC4C1C2N4C3
1.5885,47.59,-0.1858,0.0621,0.2479,671.6545,0.079713,-376.605347,-376.599148,-376.598203,-376.635026,22.992,Oc1cnc(O)[nH]1
2.8046,68.25,-0.2671,-0.0482,0.2189,1094.7969,0.102146,-470.090784,-470.083034,-470.08209,-470.123522,28.171,Cc1nc(=N)[nH]c(=O)o1
3.8594,83.01,-0.2755,0.0258,0.3012,1374.7407,0.1901,-404.36973,-404.358699,-404.357754,-404.405691,40.428,CC(C#N)OC(C)(C)C
4.0158,80.29,-0.2213,0.0352,0.2566,1270.9014,0.184097,-420.442256,-420.433238,-420.432293,-420.475764,34.435,CC1CNC(=O)CN1C
2.3847,73.76,-0.2482,-0.0397,0.2085,1828.442,0.154797,-460.196008,-460.185454,-460.18451,-460.233444,36.166,CC(=O)CCC(O)C=O
2.4908,82.45,-0.2196,-0.0232,0.1963,1052.4397,0.137687,-384.731443,-384.724378,-384.723433,-384.763016,28.044,O=C1CC=C2C=CCC12
3.7675,73.13,-0.2637,-0.0419,0.2218,1470.3476,0.080875,-381.296868,-381.288556,-381.287612,-381.331033,27.958,C#CC#CCOC=O
2.4472,59.77,-0.244,0.0133,0.2572,741.5895,0.121192,-399.78125,-399.775078,-399.774134,-399.811154,24.69,OC1C2CC1OC=N2
2.9672,71.59,-0.2737,0.0038,0.2775,1368.8314,0.15836,-460.190826,-460.18137,-460.180425,-460.225678,33.901,CCC1C(=O)OC1CO
2.0516,57.36,-0.2216,0.0728,0.2944,661.756,0.12389,-345.61283,-345.605786,-345.604842,-345.64342,26.653,OC12CCC1(O)C2
1.9735,78.72,-0.2363,0.0794,0.3156,1208.5654,0.182265,-424.22115,-424.212391,-424.211447,-424.254005,34.748,CC1CCC2(O)CC2O1
1.0314,75.31,-0.2235,0.0693,0.2928,1170.6347,0.169978,-440.227023,-440.217914,-440.21697,-440.261001,33.812,CN1CC(O)C1C1CO1
5.1679,66.57,-0.2359,-0.0593,0.1766,1071.0944,0.125204,-475.048778,-475.040672,-475.039727,-475.082015,29.62,O=C1COCCNC1=O
3.9957,84.84,-0.2152,-0.013,0.2023,1153.3406,0.136313,-380.882194,-380.873591,-380.872647,-380.916036,31.729,C#Cc1nccn1CC
4.1261,74.05,-0.2248,0.0218,0.2466,1017.4775,0.150503,-398.113521,-398.105482,-398.104537,-398.145933,31.369,N#CC1NC2CC2C1N
4.4831,72.59,-0.2592,-0.0323,0.2269,1419.8703,0.123808,-471.258764,-471.249355,-471.24841,-471.294155,32.298,CN(C=N)C(=O)NC=O
3.9986,97.21,-0.2647,-0.0852,0.1795,2396.9183,0.085557,-382.206832,-382.197195,-382.196251,-382.243754,31.918,C#CCC#CC#CC=O
3.6555,74.09,-0.239,-0.0096,0.2294,1062.6367,0.139319,-418.076734,-418.06948,-418.068535,-418.10865,27.637,O=C1CN=C2CCCN12
0.8943,75.04,-0.2357,0.0717,0.3074,1034.6953,0.160507,-422.953075,-422.945604,-422.94466,-422.984897,30.46,OC12CC3(C1)OCCC23
4.9948,72.89,-0.2852,0.0298,0.315,1516.7579,0.163667,-365.085216,-365.075524,-365.07458,-365.120185,33.947,CCCC(O)CC#N
6.9689,65.41,-0.2184,-0.035,0.1834,997.1358,0.079583,-464.968332,-464.961448,-464.960504,-464.99933,26.138,Nc1nc2onnc2[nH]1
1.3897,80.83,-0.2293,0.0296,0.2588,1312.6229,0.170913,-403.163173,-403.154321,-403.153377,-403.197551,32.963,CCC1=NCC2(CC2)O1
3.8263,82.29,-0.2005,-0.014,0.1865,1068.5197,0.139142,-380.926068,-380.918823,-380.917879,-380.957654,28.063,CC1=CCn2cncc21
1.3786,80.12,-0.2406,0.0779,0.3185,1411.8182,0.180018,-424.189174,-424.179289,-424.178344,-424.224092,37.587,CC1(O)CC1C1CC1O
2.7218,72.43,-0.2479,-0.0206,0.2273,998.5763,0.13615,-421.82902,-421.821588,-421.820644,-421.861034,29.038,O=C1CC2OC2C12CC2
5.7875,74.32,-0.2663,-0.0973,0.169,1120.1502,0.07695,-435.500617,-435.493303,-435.492359,-435.532874,26.874,C#Cc1ccoc(=O)n1
4.5725,74.05,-0.2143,-0.0143,0.2,1284.3351,0.135602,-451.294253,-451.284706,-451.283762,-451.329744,33.199,CNc1onnc1CN
1.3592,74.22,-0.2613,0.0334,0.2947,1110.7944,0.151274,-347.750664,-347.741487,-347.740543,-347.784525,33.504,C#CC(O)C1CC1C
4.9626,80.08,-0.2319,0.0269,0.2588,1137.6526,0.159823,-382.038232,-382.029512,-382.028568,-382.07147,32.976,CNC1(C#N)C2CCC21
0,59.16,-0.2396,-0.0203,0.2192,905.9268,0.084008,-430.656668,-430.650749,-430.649804,-430.686779,23.041,Fc1ccc(F)cc1
3.5442,83.73,-0.2394,-0.0167,0.2227,1304.9875,0.183216,-387.106489,-387.097752,-387.096808,-387.140107,33.209,CC1CC2C(C=O)C2C1
3.2105,82.48,-0.2363,-0.0308,0.2055,1203.8465,0.134355,-384.635893,-384.627436,-384.626492,-384.669132,31.934,C#CC12CCC1C2C=O
0.207,88.81,-0.2399,0.0886,0.3285,1111.9188,0.205332,-351.119602,-351.110659,-351.109715,-351.152282,35.904,CC1C2C3C(C)C1(C)C23
3.1469,58.3,-0.2661,-0.0375,0.2286,902.9264,0.105766,-419.721632,-419.713951,-419.713007,-419.754372,26.695,CC(=O)C1COC1=O
3.231,79.51,-0.2246,-0.0497,0.1749,1185.9868,0.137509,-418.078329,-418.070199,-418.069255,-418.11156,30.339,CCc1ncc[nH]c1=O
2.3546,69.57,-0.2418,-0.0421,0.1996,1121.3748,0.134469,-458.959119,-458.950717,-458.949773,-458.992399,30.782,CC1OC12COCC2=O
4.8808,73.91,-0.2491,-0.0573,0.1918,1078.1847,0.148783,-439.105098,-439.096784,-439.09584,-439.138803,30.784,N=C1OCCCCC1=O
4.0118,74.91,-0.2684,0.0085,0.2768,1141.8773,0.159568,-423.047623,-423.039291,-423.038346,-423.080672,31.52,CC1CC2(COC2=O)C1
2.7243,85.14,-0.2373,-0.019,0.2183,1466.6336,0.156288,-385.882313,-385.872136,-385.871192,-385.919426,35.396,CC#CC1CC(=O)C1C
2.5003,70.73,-0.2624,-0.0371,0.2253,1525.6385,0.131595,-458.930214,-458.919836,-458.918892,-458.967519,36.016,C#CC(O)C(=O)CCO
1.733,81.28,-0.2483,0.0307,0.279,1123.0519,0.157735,-385.824335,-385.815769,-385.814825,-385.857356,33.344,C#CC1(C)OC2CCC21
3.3177,83.14,-0.2679,0.0184,0.2863,2299.6876,0.145294,-401.93752,-401.926936,-401.925992,-401.975635,36.105,CC(O)C#CCCC#N
4.0216,73.19,-0.2368,0.0163,0.2531,1158.352,0.148504,-439.057084,-439.048913,-439.047968,-439.090895,29.869,N=COC1C2CCOC21
3.6894,72.74,-0.2459,-0.0194,0.2265,1335.4854,0.157626,-460.172241,-460.16277,-460.161826,-460.208219,32.685,CC(C=O)C1OCCO1
1.4657,84.45,-0.2328,0.0833,0.3162,1189.4532,0.208669,-388.315234,-388.30706,-388.306116,-388.347917,32.926,CCC1OC2CCC1C2
3.1941,69.56,-0.2648,0.0211,0.286,1007.2373,0.122515,-437.818334,-437.810074,-437.80913,-437.850769,31.357,CC1(C#N)C2OC1C2O
1.576,73.65,-0.2272,-0.0007,0.2265,1167.3643,0.111682,-420.606546,-420.598236,-420.597292,-420.640097,30.615,C#CC(O)c1ccco1
1.3831,71.87,-0.2384,-0.0188,0.2196,1129.7184,0.146528,-439.122956,-439.113986,-439.113042,-439.157703,32.254,CC(=O)C1N=COC1C
0.6435,85.53,-0.2295,-0.0277,0.2018,1516.9039,0.119622,-400.649036,-400.638528,-400.637584,-400.687157,35.945,C#CCC(C#CC)=NO
3.8918,69.53,-0.2282,-0.0343,0.1938,967.4054,0.124781,-437.826683,-437.819616,-437.818672,-437.858252,27.661,O=C1CC2NC3COC132
4.1882,80.7,-0.2572,0.0058,0.263,1034.0125,0.149852,-364.833902,-364.826366,-364.825422,-364.865943,29.52,N#CC12CC=CC1CC2
1.5821,84.38,-0.1643,0.0055,0.1698,1080.9745,0.138901,-380.905757,-380.898105,-380.897161,-380.937401,30.505,Nc1c[nH]c2c1CC=C2
2.4795,76.74,-0.2647,0.0114,0.2761,1277.3505,0.147048,-401.893766,-401.885369,-401.884425,-401.927185,31.346,CCC1C2OC1C2C#N
1.2881,80.43,-0.2341,0.0875,0.3217,951.0891,0.188067,-387.088562,-387.082104,-387.08116,-387.118975,28.232,C1CC2CC3CC2C3O1
3.4235,76.96,-0.2429,0.0529,0.2959,1110.4638,0.148583,-401.893347,-401.885313,-401.884369,-401.926021,31.748,C#CC1CC2NC2C1O
5.8084,75.3,-0.2517,-0.0198,0.2319,2037.6494,0.158283,-456.371428,-456.361149,-456.360205,-456.4081,35.36,N=C(CCCO)NC=O
1.0031,82.71,-0.215,0.0558,0.2708,1286.3221,0.193746,-404.308247,-404.298443,-404.297499,-404.342973,36.602,CCC12CCC1(CO)N2
5.3989,82.96,-0.2274,-0.0495,0.1779,1261.1521,0.11466,-416.891301,-416.883672,-416.882728,-416.923387,28.906,Nc1ccc(C=O)cn1
2.3398,75.51,-0.2415,0.0122,0.2537,1033.9448,0.161639,-423.01942,-423.011765,-423.010821,-423.051658,30.179,OC1CC=CC2COC12
2.8621,77.31,-0.2269,0.075,0.3019,954.9524,0.173932,-403.123128,-403.116068,-403.115124,-403.154038,29.821,CC12NC1C1COC2C1
1.4967,79.16,-0.2298,0.027,0.2568,1366.5413,0.15955,-419.221966,-419.212537,-419.211592,-419.256964,33.318,COCc1n[nH]cc1C
4.9563,72.27,-0.253,-0.0026,0.2504,1193.5034,0.123264,-437.876543,-437.867734,-437.86679,-437.910091,33.085,C#CC1CC1([NH3+])C(=O)[O-]
3.5255,72.61,-0.238,-0.0463,0.1917,1283.8356,0.134862,-458.988964,-458.979995,-458.979051,-459.023114,32.668,O=C1C=C(CO)C(O)C1
4.0759,52.6,-0.2502,-0.016,0.2342,756.8071,0.082966,-285.30044,-285.292874,-285.29193,-285.334226,23.663,CC#CC(N)=O
0.8453,84.18,-0.2475,0.0906,0.3381,2247.3252,0.221405,-351.412879,-351.401976,-351.401032,-351.449857,37.486,CCCCOCCC
4.0688,68.19,-0.247,-0.0053,0.2418,1277.4828,0.112567,-454.003485,-453.994971,-453.994027,-454.038803,29.222,CC(=O)Nc1cnco1
2.035,66.85,-0.2478,0.0379,0.2857,995.3212,0.129625,-383.700981,-383.69304,-383.692096,-383.733813,29.222,C#CC1CC(O)CO1
1.7402,76.18,-0.2377,0.0443,0.282,935.1518,0.149263,-401.792694,-401.786291,-401.785347,-401.823089,27.123,C1CN2C3C1C21COC31
1.307,83.04,-0.2501,0.001,0.2511,1206.6743,0.157693,-385.864853,-385.855628,-385.854684,-385.898564,35.439,C#CC1(C)C=CC(O)C1
3.3579,74.36,-0.2337,0.0054,0.2392,1199.4955,0.124688,-400.796919,-400.788526,-400.787582,-400.830618,30.283,Cc1cocc1CC#N
2.7896,68.87,-0.243,-0.0342,0.2089,1134.8095,0.133226,-458.919215,-458.910289,-458.909345,-458.95376,31.904,O=CC1OCC12CC2O
3.0589,75.71,-0.2824,-0.0861,0.1963,1222.4855,0.124682,-437.956601,-437.948386,-437.947442,-437.989958,30.012,CCC1=CC(=O)OC1=N
3.4077,71.58,-0.2648,0.0117,0.2765,1070.2348,0.148488,-439.102498,-439.094129,-439.093185,-439.135162,32.074,N#CC1(O)CCCOC1
1.68,75.23,-0.2306,0.0295,0.26,1156.2761,0.134808,-421.768221,-421.759888,-421.758943,-421.800908,32.206,C#CC12CC1C(O)CO2
2.6546,79.9,-0.2127,0.0366,0.2493,1574.3091,0.159398,-419.231911,-419.222411,-419.221467,-419.267558,32.79,COCc1cn(C)cn1
0.6064,80.12,-0.2591,0.0513,0.3104,1055.3783,0.175565,-311.832791,-311.824056,-311.823112,-311.865675,33.423,C#CCC1(C)CCC1
0.0161,88.64,-0.2199,0.0272,0.2471,1093.7564,0.185214,-349.930583,-349.923266,-349.922321,-349.961915,30.508,CC1=CCC2C3CC2C13
2.4811,73.51,-0.2457,-0.0555,0.1902,1415.0682,0.134273,-458.964836,-458.955769,-458.954824,-458.999666,31.538,O=C(CO)C1=CCOC1
1.7871,79.28,-0.2405,-0.0239,0.2166,1494.3936,0.181825,-424.258497,-424.249023,-424.248079,-424.293654,34.434,CCCC1OCCC1=O
2.0197,77.82,-0.2417,0.0782,0.3199,1136.6656,0.182991,-424.219451,-424.210801,-424.209857,-424.254257,32.701,CC1OCCC12CCO2
3.9104,54.27,-0.2653,-0.1059,0.1594,744.383,0.059052,-446.699043,-446.6923,-446.691356,-446.730294,24.021,Nc1nonnc1=O
1.5786,85.78,-0.2132,0.0719,0.2851,1243.382,0.193665,-367.12453,-367.115464,-367.114519,-367.158233,35.158,CCC12CN1C1C(C)C12
3.1183,75.08,-0.2406,0.0811,0.3218,1081.5034,0.159004,-422.989358,-422.981646,-422.980702,-423.021164,31.053,CC12CC(O1)C1(CO1)C2
